Type,Noise,Voice,SentenceID,Participant,StimulusID,Tree.Node.Key,IntelligibilityTask,Sex,Age,BirthCountry,Date,,Approvals,Location,,,,Reaction.Time,EventCode,ANSWER,Response,WordsCorrect,Accuracy,TimeTaken
clone,3dB,6,11,66e2bb6110820bec659a6d23,voice_06_clone_011_3dB.mp3,task-dfmo,Task18,Female,29,United Kingdom,2025-01-28T14:38:38.331000Z,,65,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,9062.4,208,a tame squirrel makes a nice pet,a tame squirrel makes a nice pet,5,1,1268
human,3dB,4,11,673646950eb7c31614a424bf,voice_04_human_011_3dB.mp3,task-ea16,Task09,Female,26,United Kingdom,2025-01-28T14:33:04.554000Z,,180,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,5692.7,420,a tame squirrel makes a nice pet,tame squirell makes a nice pet,5,1,1390
human,3dB,11,11,6753141d924a3b764f3af127,voice_11_human_011_3dB.mp3,task-diot,Task03,Male,33,United Kingdom,2025-01-28T14:46:59.597000Z,,162,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,8471.6,533,a tame squirrel makes a nice pet,the tame squirel makes a nice pet,5,1,3142
human,3dB,6,11,6754aef250b2cb04d504adb1,voice_06_human_011_3dB.mp3,task-6ung,Task08,Female,24,United Kingdom,2025-01-28T14:21:10.082000Z,,63,Scotland,,,,7974.1,668,a tame squirrel makes a nice pet,a tamed squirrel makes a nice pet,5,1,1451
clone,3dB,8,11,6762b46f8efa75acc7746500,voice_08_clone_011_3dB.mp3,task-jjv3,Task16,Male,22,United Kingdom,2025-01-27T10:36:07.143000Z,,118,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,8178.8,198,a tame squirrel makes a nice pet,a tame squirrel makes a nice pet,5,1,1179
clone,3dB,11,11,67633e21c1dbfc7844faf425,voice_11_clone_011_3dB.mp3,task-2a7e,Task13,Male,32,United Kingdom,2025-01-28T14:13:43.216000Z,,136,Scotland,,,,7444.4,764,a tame squirrel makes a nice pet,a tame squirrell makes a nice pet ,5,1,1257
clone,3dB,9,11,6790fdd894f8d92d7835134c,voice_09_clone_011_3dB.mp3,task-ajvt,Task15,Female,33,United Kingdom,2025-01-23T15:57:24.030000Z,,7,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,5945.4,371,a tame squirrel makes a nice pet,a tame squirrel makes a nice pet,5,1,1296
clone,3dB,10,11,60870e7b286405a9ad9ec7e7,voice_10_clone_011_3dB.mp3,task-i46j,Task14,Female,27,United Kingdom,2025-02-03T16:09:16.747000Z,,39,"London, England ",,,,7297.6,119,a tame squirrel makes a nice pet,a tame squirrel makes a nice pet,5,1,1652
clone,3dB,3,11,66982d11d7d50b532313478d,voice_03_clone_011_3dB.mp3,task-16xx,Task20,Female,29,United Kingdom,2025-02-03T15:28:52.619000Z,,153,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,7256.2,203,a tame squirrel makes a nice pet,a tame squirrel makes a nice pet,5,1,1465
human,3dB,7,11,671de38b70419e476bff2e09,voice_07_human_011_3dB.mp3,task-sjhp,Task07,Female,30,United Kingdom,2025-02-03T15:24:27.123000Z,,171,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",,,,7724.4,290,a tame squirrel makes a nice pet,a tame squirrel makes a nice pet,5,1,1282
